Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand,filename
"https://www.thredup.com/product/women-cotton-ann-taylor-blue-blazer/63730730?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189842144/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Solid', 'Blue']","57% Cotton, 29% Rayon, 13% Polyester, 1% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-blue-jacket/63716293?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189842138/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Striped print', 'Blue']","70% Cotton, 26% Rayon, 4% Other",Size 0 ,Detailed measurements are not available for this item.,6.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-caslon-tan-blazer/63488845?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189085869/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Striped print', 'Tan']","69% Polyester, 27% Viscose, 4% Elastane",Size 2 ,Detailed measurements are not available for this item.,6.99,Caslon,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-ann-taylor-factory-black-jacket/63480777?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/189014605/retina.jpg,Outerwear,"['Jacket', 'Solid', 'Black']","64% Polyester, 34% Rayon, 2% Spandex",Size 0 ,Detailed measurements are not available for this item.,6.99,Ann Taylor Factory,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-ann-taylor-black-blazer/63379857?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/163754109/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Black']",100% Polyester,Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-tan-blazer/63331155?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/188528463/retina.jpg,Outerwear,"['Work', 'Jacket', 'Solid', 'Tan']","60% Cotton, 40% Rayon",Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-triacetate-ann-taylor-black-blazer/63235658?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/188295847/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Black']","71% Triacetate, 29% Polyester",Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-ann-taylor-brown-blazer/62898686?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/187250358/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Striped print', 'Brown']",No Fabric Content,Size 0 ,Detailed measurements are not available for this item.,6.99,Ann Taylor,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-banana-republic-factory-store-grey-blazer/62686259?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/186494502/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Grey and Gray']","64% Polyester, 34% Viscose, 2% Elastane",Size 2 ,Detailed measurements are not available for this item.,6.99,Banana Republic Factory Store,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-black-denim-jacket/62612283?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/150138022/retina.jpg,Outerwear,"['Dry clean only', 'Jacket', 'Black and Blue']","75% Cotton, 22% Polyester, 3% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor LOFT,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-lyocell-gap-green-vest/62478590?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/185894130/retina.jpg,Outerwear,"['Boho', 'Military style', 'Solid', 'Green']",100% Lyocell,Size XS ,Detailed measurements are not available for this item.,6.99,Gap,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-nine-west-black-blazer/62438399?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/171579903/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Solid', 'Black']",100% Polyester,Size 2 ,Detailed measurements are not available for this item.,6.99,Nine West,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-linen-talbots-ivory-jacket/61996026?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/184260487/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Ivory']","55% Linen, 45% Cotton",Size 2 ,Detailed measurements are not available for this item.,6.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-wdny-brown-jacket/61516261?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/182700870/retina.jpg,Outerwear,"['Boho', 'Peacoat style', 'Brown and Ivory']","95% Polyester, 5% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,WD.NY,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-polyester-nine-west-tan-blazer/60927858?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/180845227/retina.jpg,Outerwear,"['Ruched detail', 'Work', 'Jacket', 'Printed', 'Tan']","80% Polyester, 20% Rayon",Size 2 ,Detailed measurements are not available for this item.,6.99,Nine West,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-wool-talbots-tan-jacket/60779623?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/180357263/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Solid', 'Tan']","98% Wool, 2% Spandex",Size 2 ,Detailed measurements are not available for this item.,6.99,Talbots,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
"https://www.thredup.com/product/women-linen-jjill-tan-jacket/60778255?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/180417706/retina.jpg,Outerwear,"['Ruffle accents', 'Frills & ruffles', 'Jacket', 'Solid', 'Tan']",100% Linen,Size XS ,Detailed measurements are not available for this item.,6.99,J.jill,/home/taniya/Projects/thredup-scraper-api/data/autumn_clothing_interim/coats_jackets1.csv
