Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-cotton-edyson-blue-cords/68178158?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/203779349/retina.jpg,Pants,"['Skinny leg cut', 'Solid', 'Low rise waist', 'Blue']","98% Cotton, 2% Spandex",28 Waist ,"24"" Inseam, 8"" Rise, 32"" Waist",4.99,Edyson
"https://www.thredup.com/product/women-polyester-tahari-by-asl-black-dress-pants/68158753?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/203714558/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black']","98% Polyester, 2% Spandex",Size 2 ,"29"" Inseam, 9.5"" Rise, 28"" Waist",4.99,Tahari by ASL
"https://www.thredup.com/product/women-polyester-anne-klein-black-dress-pants/68085206?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/203506641/retina.jpg,Pants,"['Work', 'Flared leg cut', 'Solid', 'Mid rise waist', 'Black and Gray']","82% Polyester, 15% Rayon, 3% Spandex",Size 2 ,"28"" Inseam, 10"" Rise, 30"" Waist",4.99,Anne Klein
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-black-dress-pants/67983059?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/203182226/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black']","62% Polyester, 33% Rayon, 5% Spandex",Size 2 ,"28"" Inseam, 9"" Rise, 32"" Waist",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-banana-republic-black-cords/67776360?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/202571965/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black and Gray']","98% Cotton, 2% Spandex",Size 2 ,"26"" Inseam, 8"" Rise, 28"" Waist",4.99,Banana Republic
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-brown-casual-pants/67768476?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/202550895/retina.jpg,Pants,"['Solid', 'High rise waist', 'Brown']","61% Polyester, 34% Viscose, 5% Elastane",Size 2 ,"14"" Inseam, 11"" Rise, 28"" Waist",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-rayon-charter-club-black-casual-pants/67720736?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/202432693/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black and Blue']","75% Rayon, 22% Nylon, 3% Spandex",Size 2 ,"28"" Inseam, 10"" Rise, 24"" Waist",4.99,Charter Club
"https://www.thredup.com/product/women-wool-ann-taylor-factory-gray-wool-pants/67597569?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/202153786/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Gray']","55% Wool, 43% Polyester, 2% Spandex",Size 2 ,"30"" Inseam, 9"" Rise, 28"" Waist",4.99,Ann Taylor Factory
"https://www.thredup.com/product/women-viscose-jjill-black-casual-pants/67544845?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/201924604/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black']","60% Viscose, 35% Nylon, 5% Spandex",Size S ,"27"" Inseam, 10"" Rise, 28"" Waist",4.99,J.jill
"https://www.thredup.com/product/women-cotton-talbots-blue-dress-pants/67508190?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/201743543/retina.jpg,Pants,"['Solid', 'Mid rise waist', 'Blue']","53% Cotton, 41% Rayon, 6% Spandex",Size 2 ,"25"" Inseam, 9.5"" Rise, 28"" Waist",4.99,Talbots
