Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-baumwolle-lands-end-tan-pullover-sweater/55952710?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/164701357/retina.jpg,Tops,"['Classic', 'Solid', 'Long sleeve', 'Tan']",100% Baumwolle,Size XS ,Detailed measurements are not available for this item.,3.99,Lands' End
"https://www.thredup.com/product/women-modal-banana-republic-factory-store-tan-long-sleeve-top/76414738?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/228638446/retina.jpg,Tops,"['V-neck', 'Long sleeve', 'Tan']","95% Modal, 5% Spandex",Size XS ,"34"" Chest, 24"" Length",4.99,Banana Republic Factory Store
"https://www.thredup.com/product/women-cotton-banana-republic-factory-store-pink-pullover-sweater/74542106?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/223063347/retina.jpg,Tops,"['Boho', 'Scoop neckline', 'Striped print', 'Long sleeve', 'Pink']","40% Cotton, 31% Acrylic, 18% Rayon, 8% Nylon, 3% Metallic",Size XS ,"34"" Chest, 29"" Length",4.99,Banana Republic Factory Store
"https://www.thredup.com/product/women-cotton-jjill-pink-cardigan/72680461?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/217622602/retina.jpg,Tops,"['Work', 'Solid', 'Long sleeve', 'Pink']","86% Cotton, 12% Nylon, 2% Lycra",Size XS ,"18.5"" Length",4.99,J.jill
"https://www.thredup.com/product/women-cotton-caslon-gray-cardigan/72232082?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/216294500/retina.jpg,Tops,"['Boho', 'Scoop neckline', 'Color blocked detail', 'Long sleeve', 'Gray']","55% Cotton, 20% Viscose, 15% Nylon, 10% Angora",Size XS ,"23"" Length",4.99,Caslon
"https://www.thredup.com/product/women-cotton-eddie-bauer-red-long-sleeve-t-shirt/71971412?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/215521598/retina.jpg,Tops,"['Work', 'Turtleneck neckline', 'Solid', 'Long sleeve', 'Red']",100% Cotton,Size XS ,"30"" Chest, 23"" Length",4.99,Eddie Bauer
"https://www.thredup.com/product/women-supima-cotton-jjill-red-long-sleeve-turtleneck/71601482?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/214398657/retina.jpg,Tops,"['Turtleneck neckline', 'Solid', 'Long sleeve', 'Red and Orange']","55% Supima Cotton, 39% Modal, 6% Spandex",Size XS ,"33"" Chest, 26"" Length",4.99,J.jill
"https://www.thredup.com/product/women-cotton-jjill-brown-long-sleeve-top/71601462?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/214400707/retina.jpg,Tops,"['Boho', 'Crew neckline', 'Floral Print', 'Long sleeve', 'Brown']","58% Cotton, 37% Modal, 5% Spandex",Size XS ,"34"" Chest, 27"" Length",4.99,J.jill
"https://www.thredup.com/product/women-cotton-jjill-red-long-sleeve-t-shirt/71017176?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/212724944/retina.jpg,Tops,"['Classic', 'Scoop neckline', 'Striped print', 'Long sleeve', 'Red']",100% Cotton,Size XS ,"32.5"" Chest, 23"" Length",4.99,J.jill
"https://www.thredup.com/product/women-cotton-banana-republic-factory-store-white-long-sleeve-button-down-shirt/70594444?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/211315558/retina.jpg,Tops,"['Work', 'Collared', 'Color blocked detail and Striped print', 'Long sleeve', 'White']","98% Cotton, 2% Spandex",Size 0 ,"30"" Chest, 23"" Length",4.99,Banana Republic Factory Store
"https://www.thredup.com/product/women-linen-simply-vera-vera-wang-red-pullover-sweater/70239110?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/210216677/retina.jpg,Tops,"['Boho', 'Scoop neckline', 'Color blocked detail', 'Long sleeve', 'Red and Burgundy']","63% Linen, 37% Viscose",Size XS ,"34.5"" Chest, 30"" Length",4.99,Simply Vera Vera Wang
