Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-ann-taylor-black-casual-pants/58563791?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/173200126/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black']",No Fabric Content,Size S ,"27.75"" Inseam, 10"" Rise, 30"" Waist",6.99,Ann Taylor
"https://www.thredup.com/product/women-wool-banana-republic-gray-dress-pants/58453760?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/163975413/retina.jpg,Pants,"['Classic', 'Boyfriend', 'Boyfriend', 'Low rise waist', 'Gray']","46% Wool, 36% Polyester, 12% Acrylic, 5% Nylon, 1% Spandex",Size 2 ,"29"" Inseam, 8"" Rise, 28.5"" Waist",6.99,Banana Republic
"https://www.thredup.com/product/women-polyester-anne-klein-black-dress-pants/58369914?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/172551523/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black and Blue']",100% Polyester,Size 2 ,"29"" Inseam, 10"" Rise, 36"" Waist",6.99,Anne Klein
"https://www.thredup.com/product/women-active-by-old-navy-black-active-pants/58034834?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/124978522/retina.jpg,Pants,"['Solid', 'Elastic waist', 'Black']",No Fabric Content,Size S ,"28"" Inseam, 6.5"" Rise, 24"" Waist",6.99,Active by Old Navy
"https://www.thredup.com/product/women-viscose-lands-end-black-casual-pants/57903864?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/171052908/retina.jpg,Pants,"['Solid', 'Cropped top', 'Low rise waist', 'Black and Gray']","67% Viscose, 28% Nylon, 5% Elastane",Size 2 ,"23.5"" Inseam, 7"" Rise, 28"" Waist",6.99,Lands' End
"https://www.thredup.com/product/women-polyester-jm-collection-black-dress-pants/57903597?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/171018913/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","63% Polyester, 33% Rayon, 4% Spandex",Size 2 ,"29"" Inseam, 8"" Rise, 29"" Waist",6.99,JM Collection
"https://www.thredup.com/product/women-cotton-ann-taylor-black-dress-pants/57792174?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/170679621/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","95% Cotton, 5% Spandex",Size 2 ,"24"" Inseam, 8"" Rise, 26"" Waist",6.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-gap-blue-dress-pants/57707974?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/170418573/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Blue']","55% Cotton, 40% Rayon, 5% Spandex",Size 2 ,"23"" Inseam, 9"" Rise, 30"" Waist",6.99,Gap
"https://www.thredup.com/product/women-polyester-kut-from-the-kloth-grey-dress-pants/57585950?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/170081622/retina.jpg,Pants,"['Classic', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Grey and Gray']","65% Polyester, 28% Rayon, 7% Spandex",Size 2 ,"27"" Inseam, 10"" Rise, 30"" Waist",6.99,Kut from the Kloth
"https://www.thredup.com/product/women-polyester-dkny-brown-dress-pants/57516605?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/169754273/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Brown']","49% Polyester, 49% Viscose, 2% Spandex",Size 2 ,"28"" Inseam, 8.5"" Rise, 29"" Waist",6.99,DKNY
