Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-black-blazer/66491057?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198572149/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Solid', 'Black']",100% Cotton,Size 0 ,Detailed measurements are not available for this item.,4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-ann-taylor-orange-blazer/66434756?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198371652/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Striped print', 'Orange']","72% Cotton, 26% Polyester, 2% Spandex",Size 2 ,Detailed measurements are not available for this item.,4.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-kate-hill-blue-denim-jacket/66126253?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/197494959/retina.jpg,Outerwear,"['Boho', 'Jacket', 'Solid', 'Blue']",100% Cotton,Size 2 ,Detailed measurements are not available for this item.,4.99,Kate Hill
"https://www.thredup.com/product/women-cotton-ann-taylor-blue-blazer/65272397?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/194818759/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Striped print', 'Blue']","71% Cotton, 26% Polyester, 3% Spandex",Size 2 ,Detailed measurements are not available for this item.,4.99,Ann Taylor
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-blue-jacket/65248418?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/194710301/retina.jpg,Outerwear,"['Classic', 'Peacoat style', 'Solid', 'Blue']","99% Cotton, 1% Spandex",Size 2 ,Detailed measurements are not available for this item.,4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-ann-taylor-blue-blazer/65171051?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/194508549/retina.jpg,Outerwear,"['Work', 'Jacket', 'Solid', 'Blue']",No Fabric Content,Size 2 ,Detailed measurements are not available for this item.,4.99,Ann Taylor
"https://www.thredup.com/product/women-polyester-kasper-black-blazer/64827783?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193356900/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Solid', 'Black']",100% Polyester,Size 2 ,Detailed measurements are not available for this item.,4.99,Kasper
"https://www.thredup.com/product/women-polyester-kasper-asl-black-blazer/64783849?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/193253248/retina.jpg,Outerwear,"['Work', 'Jacket', 'Solid', 'Black']","52% Polyester, 48% Acrylic",Size 2 ,Detailed measurements are not available for this item.,4.99,Kasper A.S.L.
"https://www.thredup.com/product/women-polyester-kasper-gray-blazer/66449474?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198472646/retina.jpg,Outerwear,"['Metal accents', 'Work', 'Jacket', 'Solid', 'Gray']",100% Polyester,Size 2 ,Detailed measurements are not available for this item.,7.99,Kasper
"https://www.thredup.com/product/women-polyester-berek-gray-jacket/66446501?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198424169/retina.jpg,Outerwear,"['Jacket', 'Printed', 'Gray and Black']","97% Polyester, 3% Spandex",Size XS ,Detailed measurements are not available for this item.,7.99,Berek
