Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-black-cocktail-dress/75617680?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/226305720/retina.jpg,Dresses,"['Ruched detail', 'Dry clean only', 'Party', 'Scoop neckline', 'Solid', 'Knee length', 'Sleeveless', 'Black']",100% Polyester,Size 0 ,"29"" Chest, 38"" Length",8.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-rayon-lou-and-grey-black-casual-dress/72860865?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/218167105/retina.jpg,Dresses,"['Sweater dress', 'Cowl neckline', 'Solid', 'Knee length', 'Long sleeve', 'Black']","97% Rayon, 3% Spandex",Size XS ,"31"" Chest, 32.75"" Length",8.99,Lou & Grey
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-black-casual-dress/72120226?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/215966612/retina.jpg,Dresses,"['A-Line silhouette', 'Crew neckline', 'Solid', 'Knee length', 'Short sleeve', 'Black']","95% Rayon, 5% Spandex",Size XS ,"29.5"" Chest, 33.5"" Length",8.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-old-navy-blue-casual-dress/71260478?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/213386715/retina.jpg,Dresses,"['Bodycon silhouette', 'Classic', 'Crew neckline', 'Striped print', 'Knee length', '3/4 Sleeve', 'Blue']","93% Cotton, 7% Spandex",Size XS ,"29"" Chest, 31"" Length",8.99,Old Navy
"https://www.thredup.com/product/women-polyester-ann-taylor-factory-red-casual-dress/79942298?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/201672905/retina.jpg,Dresses,"['Mini silhouette', 'Vacation', 'Crew neckline', 'Floral Print', 'Short', 'Sleeveless', 'Red']",100% Polyester,Size 0 ,"30"" Chest, 33.75"" Length",11.99,Ann Taylor Factory
"https://www.thredup.com/product/women-rayon-ann-taylor-loft-outlet-black-casual-dress/79028285?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/181451855/retina.jpg,Dresses,"['A-Line silhouette', 'Vacation', 'Scoop neckline', 'Floral Print', 'Knee length', 'Sleeveless', 'Black']","95% Rayon, 5% Spandex",Size XS ,"32"" Chest, 34.5"" Length",11.99,Ann Taylor LOFT Outlet
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-gray-casual-dress/78005639?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/189299075/retina.jpg,Dresses,"['Ruched detail', 'Mini silhouette', 'Crew neckline', 'Solid', 'Short', 'Short sleeve', 'Gray']","71% Polyester, 28% Rayon, 1% Spandex",Size 0 ,"32"" Chest, 31"" Length",11.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-rayon-old-navy-pink-casual-dress/77375645?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/231743192/retina.jpg,Dresses,"['Mini silhouette', 'Vacation', 'V-neck', 'Floral Print', 'Short', 'Sleeveless', 'Pink and Red']",100% Rayon,Size XS ,"34"" Chest, 32"" Length",11.99,Old Navy
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-black-cocktail-dress/77153472?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/230798672/retina.jpg,Dresses,"['Dry clean only', 'Party', 'V-neck', 'Knee length', 'Sleeveless', 'Black']","72% Cotton, 28% Nylon",Size 0 ,"29"" Chest, 32"" Length",11.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-ann-taylor-loft-grey-casual-dress/76924035?sizing_id=765,756",https://cf-assets-thredup.thredup.com/assets/196537964/retina.jpg,Dresses,"['Ruffle accents', 'Frills & ruffles', 'A-Line silhouette', 'Classic', 'Crew neckline', 'Striped print', 'Knee length', 'Sleeveless', 'Grey and Gray']",No Fabric Content,Size XS ,"34"" Chest, 33"" Length",11.99,Ann Taylor LOFT
