Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-acrylic-ann-taylor-black-jacket/59224875?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/175316771/retina.jpg,Outerwear,"['Dry clean only', 'Classic', 'Jacket', 'Plaid print', 'Black']","41% Acrylic, 27% Polyester, 25% Wool, 7% Nylon",Size 2 ,Detailed measurements are not available for this item.,4.99,Ann Taylor
"https://www.thredup.com/product/women-wool-ann-taylor-loft-red-wool-blazer/70137458?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/209921589/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Solid', 'Red and Brown']",100% Wool,Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-ann-taylor-factory-brown-blazer/69781891?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/208902551/retina.jpg,Outerwear,"['Dry clean only', 'Work', 'Jacket', 'Solid', 'Brown and Gray']","64% Cotton, 36% Polyester",Size 2 ,Detailed measurements are not available for this item.,6.99,Ann Taylor Factory
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-green-jacket/60036967?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/177943874/retina.jpg,Outerwear,"['Boho', 'Jacket', 'Solid', 'Green']","75% Cotton, 25% Linen",Size XS ,Detailed measurements are not available for this item.,7.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-ann-taylor-white-blazer/60032692?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/177945722/retina.jpg,Outerwear,"['Work', 'Peacoat style', 'Solid', 'White']","75% Cotton, 22% Rayon, 3% Spandex",Size 2 ,Detailed measurements are not available for this item.,7.99,Ann Taylor
"https://www.thredup.com/product/women-wool-tahari-brown-wool-blazer/59949345?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/177849887/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Brown']","98% Wool, 2% Polyester",Size 2 ,Detailed measurements are not available for this item.,7.99,Tahari
"https://www.thredup.com/product/women-polyester-ak-anne-klein-brown-blazer/59936481?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/177646132/retina.jpg,Outerwear,"['Work', 'Jacket', 'Solid', 'Brown']","95% Polyester, 5% Rayon",Size 2 ,Detailed measurements are not available for this item.,7.99,AK Anne Klein
"https://www.thredup.com/product/women-polyester-kasper-grey-blazer/59930726?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/177613391/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Striped print', 'Grey and Gray']","63% Polyester, 33% Rayon, 4% Spandex",Size 2 ,Detailed measurements are not available for this item.,7.99,Kasper
"https://www.thredup.com/product/women-wool-banana-republic-black-wool-blazer/59907066?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/177579022/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Solid', 'Black']","95% Wool, 5% Lycra",Size 0 ,Detailed measurements are not available for this item.,7.99,Banana Republic
"https://www.thredup.com/product/women-polyester-ann-taylor-factory-green-blazer/59709750?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/143062463/retina.jpg,Outerwear,"['Classic', 'Jacket', 'Green and Brown']","64% Polyester, 34% Viscose, 2% Spandex",Size 0 ,Detailed measurements are not available for this item.,7.99,Ann Taylor Factory
