Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-cotton-jjill-pink-cardigan/67431255?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/201724914/retina.jpg,Tops,"['Work', 'Solid', '3/4 Sleeve', 'Pink']",100% Cotton,Size XS ,"17"" Length",4.99,J.jill
"https://www.thredup.com/product/women-cotton-jjill-red-cardigan/67431241?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/201724759/retina.jpg,Tops,"['Solid', '3/4 Sleeve', 'Red']",100% Cotton,Size XS ,"18"" Length",4.99,J.jill
"https://www.thredup.com/product/women-acrylic-croft-and-barrow-red-cardigan/67282177?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/201025284/retina.jpg,Tops,"['Boho', 'Striped print', 'Long sleeve', 'Red and Black']",100% Acrylic,Size XS ,"22"" Length",4.99,Croft & Barrow
"https://www.thredup.com/product/women-pima-cotton-ann-taylor-loft-pink-pullover-sweater/66680624?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/199181508/retina.jpg,Tops,"['V-neck', 'Solid', '3/4 Sleeve', 'Pink']",100% Pima Cotton,Size XS ,"36"" Chest, 23"" Length",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-jjill-red-pullover-sweater/66444046?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198425380/retina.jpg,Tops,"['V-neck', 'Solid', 'Long sleeve', 'Red and Burgundy']","70% Cotton, 15% Viscose, 15% Nylon",Size XS ,"36.5"" Chest, 28.5"" Length",4.99,J.jill
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-tan-pullover-sweater/66443859?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198455561/retina.jpg,Tops,"['Scoop neckline', 'Solid', 'Sleeveless', 'Tan and Ivory']","54% Cotton, 40% Rayon, 6% Wool",Size XS ,"33"" Chest, 21.75"" Length",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-tan-cardigan/66443444?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198522730/retina.jpg,Tops,"['Classic', 'Plunge', 'Striped print', 'Long sleeve', 'Tan']","55% Cotton, 41% Rayon, 4% Wool",Size XS ,"26"" Length",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-linen-ann-taylor-loft-black-cardigan/66356353?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/198291159/retina.jpg,Tops,"['Plunge', 'Solid', 'Short sleeve', 'Black']","55% Linen, 45% Cotton",Size XS ,"16.5"" Length",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-ann-taylor-loft-outlet-purple-pullover-sweater/66238361?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/197841171/retina.jpg,Tops,"['V-neck', 'Solid', 'Long sleeve', 'Purple']",No Fabric Content,Size XS ,"28"" Chest, 22"" Length",4.99,Ann Taylor LOFT Outlet
"https://www.thredup.com/product/women-ramie-ann-taylor-loft-black-cardigan/66052390?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/197360720/retina.jpg,Tops,"['Solid', 'Long sleeve', 'Black']","55% Ramie, 45% Rayon",Size XS ,"25.25"" Length",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-viscose-simply-vera-vera-wang-purple-pullover-sweater/65312712?sizing_id=765,756,774",https://cf-assets-thredup.thredup.com/assets/194917054/retina.jpg,Tops,"['Boho', 'Crew neckline', 'Solid', 'Long sleeve', 'Purple']","94% Viscose, 6% Cotton",Size XS ,"34"" Chest, 26"" Length",4.99,Simply Vera Vera Wang
