Link,Image_Link,Category_Type,Description,Materials,Size,Measurements,Price,Brand
"https://www.thredup.com/product/women-polyester-banana-republic-factory-store-gray-dress-pants/69832680?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/208956500/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Gray']","62% Polyester, 33% Viscose, 5% Elastane",Size 2 ,"28"" Inseam, 10"" Rise, 30"" Waist",4.99,Banana Republic Factory Store
"https://www.thredup.com/product/women-cotton-old-navy-blue-khakis/69831890?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/208917650/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Blue']","66% Cotton, 31% Linen, 3% Spandex",Size 2 ,"26"" Inseam, 9"" Rise, 30"" Waist",4.99,Old Navy
"https://www.thredup.com/product/women-wool-eddie-bauer-gray-wool-pants/69756555?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/208710132/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Low rise waist', 'Gray']","80% Wool, 20% Nylon",Size 2 ,"26.5"" Inseam, 8"" Rise, 30"" Waist",4.99,Eddie Bauer
"https://www.thredup.com/product/women-cotton-banana-republic-blue-khakis/69712019?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/208571102/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Blue']","93% Cotton, 5% Polyester, 2% Spandex",Size 2 ,"29"" Inseam, 9"" Rise, 30"" Waist",4.99,Banana Republic
"https://www.thredup.com/product/women-cotton-ann-taylor-loft-blue-casual-pants/69429660?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/207706825/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Polka dot print', 'Cropped top', 'Low rise waist', 'Blue']","97% Cotton, 3% Spandex",Size 2 ,"20"" Inseam, 8"" Rise, 32"" Waist",4.99,Ann Taylor LOFT
"https://www.thredup.com/product/women-polyester-new-york-and-company-black-dress-pants/69399791?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/207636552/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","69% Polyester, 29% Viscose, 2% Spandex",Size 2 ,"29"" Inseam, 8"" Rise, 30"" Waist",4.99,New York & Company
"https://www.thredup.com/product/women-cotton-chaps-black-cords/69336361?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/207451151/retina.jpg,Pants,"['Boho', 'Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black and Purple']","98% Cotton, 2% Elastane",Size 2 ,"28"" Inseam, 9"" Rise, 28"" Waist",4.99,Chaps
"https://www.thredup.com/product/women-viscose-jjill-black-casual-pants/69203990?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/206962130/retina.jpg,Pants,"['Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Elastic waist', 'Black']","60% Viscose, 35% Nylon, 5% Spandex",Size S ,"30"" Inseam, 10"" Rise, 30"" Waist",4.99,J.jill
"https://www.thredup.com/product/women-cotton-banana-republic-black-cords/69196606?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/207008449/retina.jpg,Pants,"['Boyfriend', 'Boyfriend', 'Solid', 'Mid rise waist', 'Black and Blue']","98% Cotton, 2% Spandex",28 Waist ,"25"" Inseam, 9"" Rise, 30"" Waist",4.99,Banana Republic
"https://www.thredup.com/product/women-polyester-ann-taylor-loft-black-dress-pants/68829412?sizing_id=778,774,791,799",https://cf-assets-thredup.thredup.com/assets/205825290/retina.jpg,Pants,"['Dry clean only', 'Work', 'Boyfriend', 'Boyfriend', 'Solid', 'Low rise waist', 'Black']","68% Polyester, 28% Viscose, 4% Spandex",Size 2 ,"29.5"" Inseam, 7.5"" Rise, 31"" Waist",4.99,Ann Taylor LOFT
